age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34,white-collar,married,high.school,no,no,no,telephone,summer,mon,365,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,married,below high-school,no,yes,no,telephone,summer,mon,1666,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,577,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,white-collar,married,below high-school,no,yes,no,telephone,summer,mon,137,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,self-employed,married,high.school,no,yes,no,telephone,summer,mon,314,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,white-collar,single,professional.course,no,no,no,telephone,summer,mon,160,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,white-collar,married,university.degree,no,no,yes,telephone,summer,mon,212,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,white-collar,married,university.degree,no,yes,yes,telephone,summer,mon,616,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,below high-school,no,no,yes,telephone,summer,mon,178,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,355,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,225,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,married,high.school,no,no,no,telephone,summer,mon,160,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,below high-school,no,no,yes,telephone,summer,mon,266,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,white-collar,married,high.school,no,no,no,telephone,summer,mon,253,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,white-collar,single,professional.course,no,no,no,telephone,summer,mon,179,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,white-collar,single,university.degree,no,yes,no,telephone,summer,mon,174,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,812,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,white-collar,married,high.school,no,no,no,telephone,summer,mon,357,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,married,university.degree,no,no,no,telephone,summer,mon,232,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,single,below high-school,no,yes,no,telephone,summer,mon,91,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,white-collar,married,below high-school,no,yes,no,telephone,summer,mon,158,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,married,below high-school,no,no,no,telephone,summer,mon,200,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,white-collar,divorced,university.degree,no,yes,no,telephone,summer,mon,172,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,white-collar,married,university.degree,no,no,no,telephone,summer,mon,349,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,white-collar,single,university.degree,no,no,yes,telephone,summer,mon,20,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,white-collar,divorced,high.school,no,no,no,telephone,summer,mon,246,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,married,below high-school,no,no,no,telephone,summer,mon,529,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,white-collar,married,university.degree,no,yes,yes,telephone,summer,mon,192,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,white-collar,married,below high-school,no,no,no,telephone,summer,mon,1467,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
34,white-collar,married,high.school,no,yes,no,telephone,summer,mon,188,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,180,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,unemployed,married,below high-school,no,no,no,telephone,summer,mon,545,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,below high-school,no,no,yes,telephone,summer,mon,583,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,white-collar,married,professional.course,no,yes,no,telephone,summer,mon,221,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,no,no,telephone,summer,mon,426,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,single,professional.course,no,no,no,telephone,summer,mon,197,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,257,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,55,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,197,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,190,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,300,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,high.school,no,yes,no,telephone,summer,mon,123,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,divorced,high.school,no,yes,no,telephone,summer,mon,194,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,married,university.degree,no,no,no,telephone,summer,mon,337,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,high.school,no,no,no,telephone,summer,mon,286,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,247,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high.school,no,no,no,telephone,summer,mon,439,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,married,high.school,no,no,no,telephone,summer,mon,139,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,white-collar,married,high.school,no,yes,no,telephone,summer,mon,79,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,white-collar,married,university.degree,no,yes,yes,telephone,summer,mon,175,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,no,yes,telephone,summer,mon,262,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,white-collar,married,below high-school,no,no,no,telephone,summer,mon,61,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,white-collar,divorced,professional.course,no,yes,yes,telephone,summer,mon,78,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,below high-school,no,yes,no,telephone,summer,mon,102,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,below high-school,no,yes,yes,telephone,summer,mon,143,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,345,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,married,university.degree,no,no,no,telephone,summer,mon,185,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,207,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,married,high.school,no,yes,no,telephone,summer,mon,125,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,unemployed,single,university.degree,no,yes,no,telephone,summer,mon,240,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,193,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,136,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,single,high.school,no,yes,no,telephone,summer,mon,338,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,87,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,below high-school,no,yes,yes,telephone,summer,mon,98,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,white-collar,single,professional.course,no,yes,no,telephone,summer,mon,186,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,white-collar,married,high.school,no,no,no,telephone,summer,mon,579,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,white-collar,single,university.degree,no,yes,no,telephone,summer,mon,165,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,self-employed,married,below high-school,no,no,no,telephone,summer,mon,85,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,white-collar,married,high.school,no,yes,yes,telephone,summer,mon,506,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,divorced,university.degree,no,yes,no,telephone,summer,mon,843,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,white-collar,married,university.degree,no,yes,yes,telephone,summer,mon,292,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,white-collar,married,high.school,no,no,no,telephone,summer,mon,93,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,white-collar,married,below high-school,no,no,no,telephone,summer,mon,128,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,white-collar,married,high.school,no,yes,yes,telephone,summer,mon,107,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,white-collar,single,below high-school,no,no,no,telephone,summer,mon,303,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,white-collar,married,high.school,no,yes,no,telephone,summer,mon,81,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,270,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,married,high.school,no,no,no,telephone,summer,mon,228,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,below high-school,no,yes,yes,telephone,summer,mon,673,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
36,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,233,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,white-collar,married,university.degree,no,no,no,telephone,summer,mon,461,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,138,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,married,professional.course,no,no,no,telephone,summer,mon,412,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,blue-collar,single,below high-school,no,yes,no,telephone,summer,mon,179,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,19,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,no,no,telephone,summer,mon,228,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,717,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,1077,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,married,high.school,no,no,no,telephone,summer,mon,146,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,white-collar,single,below high-school,no,no,no,telephone,summer,mon,167,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,high.school,no,yes,no,telephone,summer,mon,356,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,172,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,unemployed,married,professional.course,no,no,no,telephone,summer,mon,67,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,single,below high-school,no,no,no,telephone,summer,mon,291,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,unemployed,single,below high-school,no,yes,no,telephone,summer,mon,256,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,divorced,university.degree,no,no,no,telephone,summer,mon,286,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,white-collar,married,university.degree,no,no,no,telephone,summer,mon,477,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,white-collar,married,high.school,no,no,no,telephone,summer,mon,322,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,high.school,no,yes,no,telephone,summer,mon,216,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,white-collar,married,below high-school,no,no,no,telephone,summer,mon,168,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,retired,married,university.degree,no,no,no,telephone,summer,mon,132,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,no,no,telephone,summer,mon,64,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,single,university.degree,no,no,no,telephone,summer,mon,209,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,below high-school,no,yes,yes,telephone,summer,mon,177,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,white-collar,married,professional.course,no,yes,no,telephone,summer,mon,580,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,white-collar,divorced,professional.course,no,yes,no,telephone,summer,mon,165,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,white-collar,married,professional.course,no,yes,no,telephone,summer,mon,300,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,136,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,white-collar,married,high.school,no,no,no,telephone,summer,mon,125,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,retired,married,high.school,no,no,no,telephone,summer,mon,238,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,single,professional.course,no,no,no,telephone,summer,mon,124,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,18,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,single,below high-school,no,no,no,telephone,summer,mon,730,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,white-collar,single,professional.course,no,no,no,telephone,summer,mon,79,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,single,high.school,no,yes,no,telephone,summer,mon,142,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high.school,no,no,yes,telephone,summer,mon,389,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,single,high.school,no,no,no,telephone,summer,mon,702,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,white-collar,divorced,professional.course,no,no,no,telephone,summer,mon,151,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,211,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,white-collar,married,below high-school,no,yes,no,telephone,summer,mon,117,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,married,professional.course,no,yes,no,telephone,summer,mon,232,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,white-collar,married,high.school,no,yes,yes,telephone,summer,mon,370,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,white-collar,married,below high-school,no,no,yes,telephone,summer,mon,46,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,married,high.school,no,no,yes,telephone,summer,mon,50,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,married,high.school,no,no,yes,telephone,summer,mon,181,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,high.school,no,no,no,telephone,summer,mon,361,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,white-collar,divorced,below high-school,no,no,no,telephone,summer,mon,73,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,no,no,telephone,summer,mon,67,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,single,below high-school,no,no,no,telephone,summer,mon,350,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,self-employed,single,university.degree,no,yes,no,telephone,summer,mon,150,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,611,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,white-collar,divorced,university.degree,no,no,no,telephone,summer,mon,89,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,white-collar,single,high.school,no,no,no,telephone,summer,mon,611,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,white-collar,married,high.school,no,no,no,telephone,summer,mon,962,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,white-collar,single,below high-school,no,no,no,telephone,summer,mon,10,4,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,retired,married,professional.course,no,no,no,telephone,summer,mon,118,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,92,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,white-collar,married,below high-school,no,yes,no,telephone,summer,mon,143,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,white-collar,married,below high-school,no,no,no,telephone,summer,mon,189,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,75,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,divorced,below high-school,no,yes,no,telephone,summer,mon,189,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,divorced,below high-school,no,no,no,telephone,summer,mon,55,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,935,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
37,white-collar,single,high.school,no,yes,yes,telephone,summer,mon,56,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,married,high.school,no,no,no,telephone,summer,mon,225,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,divorced,university.degree,no,yes,no,telephone,summer,mon,125,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,white-collar,married,high.school,no,yes,yes,telephone,summer,mon,286,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,164,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,single,professional.course,no,yes,no,telephone,summer,mon,98,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,self-employed,married,professional.course,no,no,no,telephone,summer,mon,446,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high.school,no,no,yes,telephone,summer,mon,742,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,120,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,divorced,high.school,no,no,no,telephone,summer,mon,122,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,high.school,no,yes,no,telephone,summer,mon,248,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,blue-collar,divorced,below high-school,no,yes,yes,telephone,summer,mon,205,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,white-collar,married,university.degree,no,yes,no,telephone,summer,mon,261,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,83,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,divorced,university.degree,no,yes,no,telephone,summer,mon,106,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,white-collar,single,university.degree,no,no,no,telephone,summer,mon,106,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,married,high.school,no,no,no,telephone,summer,mon,108,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,divorced,high.school,no,no,no,telephone,summer,mon,364,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,below high-school,no,no,no,telephone,summer,mon,136,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,173,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,white-collar,married,high.school,no,yes,no,telephone,summer,mon,241,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,single,below high-school,no,yes,no,telephone,summer,mon,224,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,white-collar,single,below high-school,no,yes,yes,telephone,summer,mon,148,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,white-collar,married,professional.course,no,yes,yes,telephone,summer,mon,196,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,single,professional.course,no,no,no,telephone,summer,mon,111,4,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
26,white-collar,single,university.degree,no,yes,no,telephone,summer,mon,231,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,white-collar,married,high.school,no,no,no,telephone,summer,mon,316,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,white-collar,married,high.school,no,no,no,telephone,summer,mon,669,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,white-collar,single,high.school,no,yes,no,telephone,summer,mon,425,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,121,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,high.school,no,yes,no,telephone,summer,mon,174,5,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,self-employed,single,university.degree,no,no,yes,telephone,summer,mon,88,5,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,self-employed,married,high.school,no,yes,no,telephone,summer,mon,135,4,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high.school,no,yes,yes,telephone,summer,mon,402,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,white-collar,single,high.school,no,yes,no,telephone,summer,mon,158,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,white-collar,married,below high-school,no,no,no,telephone,summer,mon,220,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,divorced,below high-school,no,yes,no,telephone,summer,mon,254,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,white-collar,married,high.school,no,yes,no,telephone,summer,mon,503,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,white-collar,divorced,professional.course,no,no,no,telephone,summer,mon,680,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,self-employed,married,university.degree,no,yes,no,telephone,summer,mon,130,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,164,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,white-collar,married,professional.course,no,no,no,telephone,summer,mon,113,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,white-collar,married,university.degree,no,no,no,telephone,summer,mon,195,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
